,game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,stadium
6137,2022_01_BUF_LA,2022,REG,1,2022-09-08,Thursday,20:20,BUF,LA,SoFi Stadium
6138,2022_01_NO_ATL,2022,REG,1,2022-09-11,Sunday,13:00,NO,ATL,Mercedes-Benz Stadium
6139,2022_01_CLE_CAR,2022,REG,1,2022-09-11,Sunday,13:00,CLE,CAR,Bank of America Stadium
6140,2022_01_SF_CHI,2022,REG,1,2022-09-11,Sunday,13:00,SF,CHI,Soldier Field
6141,2022_01_PIT_CIN,2022,REG,1,2022-09-11,Sunday,13:00,PIT,CIN,Paycor Stadium
6142,2022_01_PHI_DET,2022,REG,1,2022-09-11,Sunday,13:00,PHI,DET,Ford Field
6143,2022_01_IND_HOU,2022,REG,1,2022-09-11,Sunday,13:00,IND,HOU,NRG Stadium
6144,2022_01_NE_MIA,2022,REG,1,2022-09-11,Sunday,13:00,NE,MIA,Hard Rock Stadium
6145,2022_01_BAL_NYJ,2022,REG,1,2022-09-11,Sunday,13:00,BAL,NYJ,MetLife Stadium
6146,2022_01_JAX_WAS,2022,REG,1,2022-09-11,Sunday,13:00,JAX,WAS,FedExField
6147,2022_01_KC_ARI,2022,REG,1,2022-09-11,Sunday,16:25,KC,ARI,State Farm Stadium
6148,2022_01_LV_LAC,2022,REG,1,2022-09-11,Sunday,16:25,LV,LAC,SoFi Stadium
6149,2022_01_GB_MIN,2022,REG,1,2022-09-11,Sunday,16:25,GB,MIN,U.S. Bank Stadium
6150,2022_01_NYG_TEN,2022,REG,1,2022-09-11,Sunday,16:25,NYG,TEN,Nissan Stadium
6151,2022_01_TB_DAL,2022,REG,1,2022-09-11,Sunday,20:20,TB,DAL,AT&T Stadium
6152,2022_01_DEN_SEA,2022,REG,1,2022-09-12,Monday,20:15,DEN,SEA,Lumen Field
6153,2022_02_LAC_KC,2022,REG,2,2022-09-15,Thursday,20:15,LAC,KC,GEHA Field at Arrowhead Stadium
6154,2022_02_MIA_BAL,2022,REG,2,2022-09-18,Sunday,13:00,MIA,BAL,M&T Bank Stadium
6155,2022_02_NYJ_CLE,2022,REG,2,2022-09-18,Sunday,13:00,NYJ,CLE,FirstEnergy Stadium
6156,2022_02_WAS_DET,2022,REG,2,2022-09-18,Sunday,13:00,WAS,DET,Ford Field
6157,2022_02_IND_JAX,2022,REG,2,2022-09-18,Sunday,13:00,IND,JAX,TIAA Bank Stadium
6158,2022_02_TB_NO,2022,REG,2,2022-09-18,Sunday,13:00,TB,NO,Mercedes-Benz Superdome
6159,2022_02_CAR_NYG,2022,REG,2,2022-09-18,Sunday,13:00,CAR,NYG,MetLife Stadium
6160,2022_02_NE_PIT,2022,REG,2,2022-09-18,Sunday,13:00,NE,PIT,Acrisure Stadium
6161,2022_02_ATL_LA,2022,REG,2,2022-09-18,Sunday,16:05,ATL,LA,SoFi Stadium
6162,2022_02_SEA_SF,2022,REG,2,2022-09-18,Sunday,16:05,SEA,SF,Levi's Stadium
6163,2022_02_CIN_DAL,2022,REG,2,2022-09-18,Sunday,16:25,CIN,DAL,AT&T Stadium
6164,2022_02_HOU_DEN,2022,REG,2,2022-09-18,Sunday,16:25,HOU,DEN,Empower Field at Mile High
6165,2022_02_ARI_LV,2022,REG,2,2022-09-18,Sunday,16:25,ARI,LV,Allegiant Stadium
6166,2022_02_CHI_GB,2022,REG,2,2022-09-18,Sunday,20:20,CHI,GB,Lambeau Field
6167,2022_02_TEN_BUF,2022,REG,2,2022-09-19,Monday,19:15,TEN,BUF,New Era Field
6168,2022_02_MIN_PHI,2022,REG,2,2022-09-19,Monday,20:30,MIN,PHI,Lincoln Financial Field
6169,2022_03_PIT_CLE,2022,REG,3,2022-09-22,Thursday,20:15,PIT,CLE,FirstEnergy Stadium
6170,2022_03_NO_CAR,2022,REG,3,2022-09-25,Sunday,13:00,NO,CAR,Bank of America Stadium
6171,2022_03_HOU_CHI,2022,REG,3,2022-09-25,Sunday,13:00,HOU,CHI,Soldier Field
6172,2022_03_KC_IND,2022,REG,3,2022-09-25,Sunday,13:00,KC,IND,Lucas Oil Stadium
6173,2022_03_BUF_MIA,2022,REG,3,2022-09-25,Sunday,13:00,BUF,MIA,Hard Rock Stadium
6174,2022_03_DET_MIN,2022,REG,3,2022-09-25,Sunday,13:00,DET,MIN,U.S. Bank Stadium
6175,2022_03_BAL_NE,2022,REG,3,2022-09-25,Sunday,13:00,BAL,NE,Gillette Stadium
6176,2022_03_CIN_NYJ,2022,REG,3,2022-09-25,Sunday,13:00,CIN,NYJ,MetLife Stadium
6177,2022_03_LV_TEN,2022,REG,3,2022-09-25,Sunday,13:00,LV,TEN,Nissan Stadium
6178,2022_03_PHI_WAS,2022,REG,3,2022-09-25,Sunday,13:00,PHI,WAS,FedExField
6179,2022_03_JAX_LAC,2022,REG,3,2022-09-25,Sunday,16:05,JAX,LAC,SoFi Stadium
6180,2022_03_LA_ARI,2022,REG,3,2022-09-25,Sunday,16:25,LA,ARI,State Farm Stadium
6181,2022_03_ATL_SEA,2022,REG,3,2022-09-25,Sunday,16:25,ATL,SEA,Lumen Field
6182,2022_03_GB_TB,2022,REG,3,2022-09-25,Sunday,16:25,GB,TB,Raymond James Stadium
6183,2022_03_SF_DEN,2022,REG,3,2022-09-25,Sunday,20:20,SF,DEN,Empower Field at Mile High
