team,picture_location
ARI,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/arizona_cardinals.png
ATL,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/atlanta_falcons.png
BAL,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/baltimore_ravens.png
BUF,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/buffalo_bills.png
CAR,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/carolina_panthers.png
CHI,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/chicago_bears.png
CIN,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/cincinnati_bengals.png
CLE,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/clevland_browns.png
DAL,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/dallas_cowboys.png
DEN,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/denver_broncos.png
DET,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/detroit_lions.png
GB,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/greenbay_packers.png
HOU,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/houstan_texans.png
IND,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/indianapolis_colts.png
JAX,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/jacksonville_jaguars.png
KC,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/kansas_city_chiefs.png
LA,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/los_angeles_rams.png
LAC,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/los_angeles_chargers.png
LV,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/las_vegas_raiders.png
MIA,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/miami_dolphins.png
MIN,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/minnesota_vikings.png
NE,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/new_england_patriots.png
NO,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/new_orleans_saints.png
NYG,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/new_york_giants.png
NYJ,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/new_york_jets.png
PHI,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/philadelphia_eagles.png
PIT,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/pittsburg_steelers.png
SEA,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/seattle_seahawks.png
SF,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/san_fransisco_49s.png
TB,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/tampa_bay_buccaneers.png
TEN,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/tennessee_titans.png
WAS,https://github.com/JaumeClave/nfl_weekly_picks/blob/master/references/logos/washington_commanders.png
